~~ Start logging ~~
2025-01-16 23:33:40.457 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.20.0\n0-computer.sendme.installer.yaml
2025-01-16 23:33:40.457 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.20.0\n0-computer.sendme.locale.en-US.yaml
2025-01-16 23:33:40.473 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.20.0\n0-computer.sendme.locale.en-US.yaml
2025-01-16 23:33:40.473 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.20.0\n0-computer.sendme.yaml
2025-01-16 23:33:40.504 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.20.0\n0-computer.sendme.yaml
2025-01-16 23:33:40.504 INFO   Create a new locale manifest file: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.20.0\n0-computer.sendme.locale.zh-CN.yaml
2025-01-16 23:33:40.504 INFO     New locale manifest file created: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.20.0\n0-computer.sendme.locale.zh-CN.yaml
2025-01-16 23:33:40.504 INFO   Staging and Committing Changes to Git
2025-01-16 23:33:45.521 INFO     Commit message: Modify: Zype.Compass version 0.20.0 (Auto)
2025-01-16 23:33:45.522 INFO   Pushing changes to remote (origin) repository
2025-01-16 23:33:56.398 INFO     Successfully pushed to remote (origin): Modify-n0-computer.sendme-0.20.0
2025-01-16 23:33:58.760 INFO     Pull request created successfully: https://github.com/microsoft/winget-pkgs/pull/212808
2025-01-16 23:33:58.760 INFO Processing version folder: 0.21.0
2025-01-16 23:33:58.760 INFO   Create and checkout to a new branch: Modify-n0-computer.sendme-0.21.0
2025-01-16 23:34:03.752 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.21.0\n0-computer.sendme.installer.yaml
2025-01-16 23:34:03.752 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.21.0\n0-computer.sendme.installer.yaml
